lang,cap,length,n_max,build_s,dec_mean_us,dec_std_us,dec_min_us,dec_max_us,enc_mean_us,enc_std_us,enc_min_us,enc_max_us,entries,table_bits,disk_bytes,peak_rss_kb
rust,128,192.0,215.0,0.054123,43.417,13.533,24.016,84.089,24.766,6.796,15.605,40.966,19478.0,2372326.0,619856.0,3488.0
rust,128,256.0,282.0,0.106246,66.931,14.284,37.294,88.697,39.214,8.808,22.355,59.535,28121.0,4367606.0,1130459.0,4736.0
rust,128,384.0,414.0,0.273415,140.764,36.015,83.007,234.667,84.547,25.768,47.789,182.489,45149.0,9935736.0,2545848.0,6180.0
rust,128,512.0,547.0,0.550214,231.122,71.1,114.679,440.312,137.429,39.627,69.201,231.618,62306.0,17746096.0,4521986.0,8028.0
rust,128,768.0,811.0,1.682638,478.437,176.831,204.43,1013.381,307.264,115.828,126.225,665.683,96362.0,39805025.0,10083608.0,12488.0
rust,128,1024.0,1074.0,3.868653,908.987,294.565,358.157,1584.502,660.961,229.669,224.112,1227.35,130289.0,70457245.0,17793327.0,17956.0
rust,4,192.0,217.0,0.002202,40.342,9.715,24.342,75.25,22.82,4.05,14.834,30.954,1074.0,101884.0,27021.0,2400.0
rust,8,192.0,215.0,0.00398,44.854,13.746,27.731,83.608,26.082,7.248,16.215,41.94,1898.0,183449.0,48547.0,2748.0
rust,16,192.0,215.0,0.007551,45.855,15.304,22.739,87.678,25.057,7.487,14.648,43.256,3518.0,348501.0,92030.0,2532.0
rust,32,192.0,215.0,0.015632,39.441,9.738,21.661,61.239,22.794,5.291,13.735,36.201,6566.0,675962.0,178073.0,2984.0
rust,64,192.0,215.0,0.029245,43.021,14.609,23.373,111.163,24.24,6.481,14.743,40.86,11894.0,1307853.0,343338.0,3132.0
rust,128,192.0,215.0,0.053953,41.842,12.056,24.213,70.557,24.936,7.018,15.266,42.197,19478.0,2372326.0,619856.0,3732.0
rust,256,192.0,215.0,0.070333,42.043,12.472,24.199,75.386,24.956,6.784,15.822,41.33,23219.0,3011653.0,784830.0,3936.0
rust,inf,192.0,215.0,0.070281,42.423,12.461,24.364,76.899,24.7,6.874,15.475,41.704,23219.0,3011653.0,784830.0,3908.0
